group,metric,n,period,post_sig_count,post_sig_pct,trend_sig_count,trend_sig_pct,post_pos_sig_pct,post_neg_sig_pct,trend_pos_sig_pct,trend_neg_sig_pct,post_pos_share_among_sig,trend_pos_share_among_sig,mean_coef_post,median_coef_post,mean_coef_trend,median_coef_trend,mean_coef_post_sig_only,mean_coef_trend_sig_only
Dart,gross_churn,6,weeks,0,0.0,1,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,,0.0,855.9193793328346,-209.2615751252137,-131.7358807052576,-125.36237666261097,,-67.33555318477144
CSS,gross_churn,46,weeks,1,0.021739130434782608,6,0.13043478260869565,0.0,0.021739130434782608,0.10869565217391304,0.021739130434782608,0.0,0.8333333333333334,-90.00187639190972,-17.19888978538945,4.439326630600882,0.6475216856535944,-89.28886063920253,18.950634755780523
Elixir,gross_churn,1,weeks,0,0.0,1,1.0,0.0,0.0,0.0,1.0,,0.0,1295.9402955313183,1295.9402955313183,-141.6994551799891,-141.6994551799891,,-141.6994551799891
Swift,gross_churn,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-44.58821702631016,-20.254280826199505,0.4874451391721678,-2.7089258027607457,,
All,gross_churn,113,weeks,9,0.07964601769911504,16,0.1415929203539823,0.008849557522123894,0.07079646017699115,0.017699115044247787,0.12389380530973451,0.1111111111111111,0.125,-924.6771276316808,-171.03809681610713,257.96163799735695,-76.57743568891871,-8465.532615112475,-1174.8070628956393
Javascript,net_added,64,weeks,4,0.0625,8,0.125,0.03125,0.03125,0.03125,0.09375,0.5,0.25,-488.0076517452534,-28.453849757402992,-27.59047097499632,-0.5526575974632753,-3918.6542561286483,-224.76481294035327
Python,net_added,42,weeks,7,0.16666666666666666,8,0.19047619047619047,0.07142857142857142,0.09523809523809523,0.023809523809523808,0.16666666666666666,0.42857142857142855,0.125,153.66561211783275,-29.73072212280495,-131.75247503604618,-43.385123337357435,2406.4749316656566,-229.83536651397304
Rust,net_added,7,weeks,1,0.14285714285714285,3,0.42857142857142855,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,-1855.9925791756048,-1779.5125735062227,-312.477285696568,-174.53483678646742,-3749.0219780219886,-673.2132689029633
HTML,net_added,28,weeks,1,0.03571428571428571,0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,,-248.31378442783722,-9.231531063471781,0.02903496725572165,0.18874173530256994,-95.75662292991669,
Go,net_added,13,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,411.8749212528988,-623.0646756683766,-348.0040425506452,-4.001902099344272,,
Java,net_added,5,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,-177.9700463719093,-13.27297754082207,-35.92571554618708,1.1839269128190495,,
Ocaml,net_added,1,weeks,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,7929.378760313877,7929.378760313877,-627.7565963826969,-627.7565963826969,,
