repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
databend,https://github.com/databendlabs/databend.git,main,b695a4f650a3bfec53be4c7ac524edf221e84e6a31ce33472c2f5c94,CLAUDE.md,bdb97787caa9d3a22018fec955f3d958ce3e8ec5,2025-08-28 19:21:22,33308,650,33958
ddev.com,https://github.com/ddev/ddev.com.git,main,af760ae2628590a81d6b377a54b6b6429f568df1449cd35d0c655f7c,CLAUDE.md,641d75b2e33558f822ef0cf9dfce41c4d6aef3cf,2025-07-21 05:38:35,543,120,663
deepmd-kit,https://github.com/deepmodeling/deepmd-kit.git,master,158ec6e5317143fe515f7c8bb2cc6f894ce8e1eca94b92fc5217e35f,copilot-instructions.md,727ec3ceab381dbae5a5c3281ba59ba745ae01d8,2025-08-25 17:23:39,3368,168,3536
delve,https://github.com/go-delve/delve.git,master,d6554d9c8759a9cbe80f94a38ebd0a0d034857d9835f217eff1dbf01,CLAUDE.md,d86c6de3b194ce63c5ddf30df1f07f7e5d80bc91,2026-01-30 05:39:24,2932,8,2940
destructive_command_guard,https://github.com/Dicklesworthstone/destructive_command_guard.git,main,52f4d3e30ed9f6d7904f6a0371d4dffd762e8d9a53680e7db0106e18,AGENTS.md,c686775b745b5b81644323eb35df3a8920136f74,2026-01-07 17:28:18,1,1157,1158
diagnostics,https://github.com/dotnet/diagnostics.git,main,d8acf967591a44bb8dc0e46705a02166aa01c1f57a11b41b6982728e,AGENTS.md,fcb028b0c776e72f2cdaa9b4a841dd69e72f6bf0,2025-10-22 12:21:18,4185,69,4254
dify,https://github.com/langgenius/dify.git,main,14cbcdebb9777817dc34cb0e58fc582f0b438be92bcbc4fceb7de062,CLAUDE.md,fa4d3bba86a1be2796f8f87306fc74c0dd145e9d,2025-08-18 10:13:44,6779,2213,8992
dify-plugin-sdks,https://github.com/langgenius/dify-plugin-sdks.git,main,387913351d3f3bcbb7043fb34933efed235e96c534e83a9530c2a63f,CLAUDE.md,c31cb9c3e3bb95cfb3fe1bc31bd9856a0009b796,2025-11-14 13:34:55,563,18,581
docs,https://github.com/zuplo/docs.git,main,d0a251ce9a34bb8721be768fd465c66e93783b6a6ef02e7952ec88df,CLAUDE.md,b82d9d4444f8c44cec3a074e8c87687a3fc06ff2,2025-04-17 09:57:55,1793,373,2166
docs,https://github.com/ably/docs.git,main,99a89443595d281ce474fa544d6bf5e701a2dacf2444632f0b1bab41,CLAUDE.md,9e72228963249a814c5e0baea3afbb0231d0fb79,2026-02-02 11:30:00,8859,54,8913
