extension,file_count,will_include,grouping,description
"""sed""",2,FALSE,,
"""guess""",2,FALSE,,
"""sub""",2,FALSE,,
"""olv""",2,FALSE,,
"""klv2""",2,FALSE,,
"""mf""",2,FALSE,,
"""pom""",2,FALSE,,
"""terminfo""",2,FALSE,,
"""cache""",2,FALSE,,
"""rez""",2,FALSE,,
"""tcl""",2,FALSE,,
"""common""",2,FALSE,,
"""sml""",2,FALSE,,
"""jscsrc""",2,FALSE,,
"""xmodmap""",2,FALSE,,
"""xinitrc""",2,FALSE,,
"""v1""",2,FALSE,,
"""v2""",2,FALSE,,
"""ml4""",2,FALSE,,
"""textlintrc""",2,FALSE,,
"""identifier""",2,FALSE,,
"""bk""",2,FALSE,,
"""ackrc""",2,FALSE,,
"""hushlogin""",2,FALSE,,
"""wgetrc""",2,FALSE,,
"""tm""",2,FALSE,,
"""pre""",2,FALSE,,
"""d""",2,FALSE,,
"""flat""",2,FALSE,,
"""no-flat""",2,FALSE,,
"""mdb""",2,FALSE,,
"""zed""",2,FALSE,,
"""luacheckrc""",2,FALSE,,
"""podspec""",2,FALSE,,
"""tfstate""",2,FALSE,,
"""parcelrc""",2,FALSE,,
"""draft_cpp""",2,FALSE,,
"""templ""",2,FALSE,,
"""env-sample""",2,FALSE,,
"""dbml""",2,FALSE,,
"""xctestplan""",2,FALSE,,
"""xdefaults""",2,FALSE,,
"""nvim""",2,FALSE,,
"""ideavimrc""",2,FALSE,,
"""lapp""",2,FALSE,,
"""hwdb""",2,FALSE,,
"""editrc""",2,FALSE,,
"""arrow""",2,FALSE,,
"""init""",2,FALSE,,
"""lintstagedrc""",2,FALSE,,
"""wiki""",2,FALSE,,
"""ctags""",2,FALSE,,
"""ahk""",2,FALSE,,
"""default-gems""",2,FALSE,,
"""default-python-packages""",2,FALSE,,
"""hash""",2,FALSE,,
"""defs""",2,FALSE,,
"""csslintrc""",2,FALSE,,
"""shellcheckrc""",2,FALSE,,
"""ubsignore""",2,FALSE,,
"""top""",2,FALSE,,
"""cross""",2,FALSE,,
"""site""",2,FALSE,,
"""cgi""",2,FALSE,,
"""vtt""",2,FALSE,,
"""numbers""",2,FALSE,,
"""pdiparams""",2,FALSE,,
"""zig""",2,FALSE,,
"""pid""",2,FALSE,,
"""sh~""",2,FALSE,,
"""dots""",2,FALSE,,
"""funcignore""",2,FALSE,,
"""fedora""",2,FALSE,,
"""rego""",2,FALSE,,
"""builder""",2,FALSE,,
"""vercelignore""",2,FALSE,,
"""py__""",2,FALSE,,
"""jks""",2,FALSE,,
"""cf""",2,FALSE,,
"""topic""",2,FALSE,,
"""bowerrc""",2,FALSE,,
"""fake""",2,FALSE,,
"""opts""",2,FALSE,,
"""win""",2,FALSE,,
"""tsx__tmpl__""",2,FALSE,,
"""ts__tmpl__""",2,FALSE,,
"""json~""",2,FALSE,,
"""py#""",2,FALSE,,
"""rl""",2,FALSE,,
"""py~""",2,FALSE,,
"""git-id""",2,FALSE,,
"""elm""",2,FALSE,,
"""controller""",2,FALSE,,
"""anim""",2,FALSE,,
"""stl""",2,FALSE,,
"""brush""",2,FALSE,,
"""clangd""",2,FALSE,,
"""normal""",2,FALSE,,
"""inp""",2,FALSE,,
"""cel""",2,FALSE,,
"""nc""",2,FALSE,,
"""mdout""",2,FALSE,,
"""traj""",2,FALSE,,
"""lsf""",2,FALSE,,
"""spin""",2,FALSE,,
"""upf""",2,FALSE,,
"""new""",2,FALSE,,
"""workflow""",2,FALSE,,
